account_id,start_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,cohort_month
A-2789e3,2024-09-18,Basic,33,627,7524,0,0,0,0,monthly,1,2024-09
A-49b828,2023-05-11,Pro,6,294,3528,0,0,0,0,monthly,1,2023-05
A-c16b88,2024-10-19,Basic,35,665,7980,0,1,0,0,monthly,1,2024-10
A-5c9849,2024-11-12,Basic,19,361,4332,0,0,0,0,monthly,1,2024-11
A-993085,2024-09-09,Pro,31,1519,18228,0,0,0,0,monthly,1,2024-09
A-e4144b,2024-12-22,Enterprise,41,8159,97908,0,0,0,0,annual,1,2024-12
A-7dacce,2024-09-10,Enterprise,12,2388,28656,0,0,0,0,annual,1,2024-09
A-a0ca4e,2024-03-16,Enterprise,12,2388,28656,0,0,0,0,annual,1,2024-03
A-ef84cf,2024-07-25,Basic,23,437,5244,0,0,1,0,annual,0,2024-07
A-7920cc,2024-02-22,Basic,39,741,8892,0,0,0,0,monthly,1,2024-02
A-2789e3,2024-10-03,Basic,11,209,2508,0,0,0,0,monthly,1,2024-10
A-e40f45,2024-08-25,Pro,21,0,0,1,1,0,0,annual,1,2024-08
A-7c5768,2024-09-21,Basic,62,1178,14136,0,0,0,0,annual,1,2024-09
A-ccb686,2024-08-16,Pro,21,1029,12348,0,1,0,0,monthly,1,2024-08
A-bb2f49,2024-01-14,Pro,8,0,0,1,0,0,1,monthly,1,2024-01
A-2ebb4b,2023-06-16,Basic,41,779,9348,0,0,0,0,annual,1,2023-06
A-53f4e3,2024-09-18,Enterprise,20,3980,47760,0,0,0,1,monthly,1,2024-09
A-a8d89d,2023-12-12,Enterprise,78,15522,186264,0,0,0,0,monthly,1,2023-12
A-7f8241,2024-08-06,Pro,34,1666,19992,0,0,0,0,annual,1,2024-08
A-54ecc2,2023-09-16,Enterprise,11,2189,26268,0,0,0,0,monthly,1,2023-09
A-95b24a,2024-01-08,Enterprise,43,8557,102684,0,0,0,0,annual,0,2024-01
A-bbc346,2024-09-03,Basic,50,950,11400,0,0,0,0,annual,1,2024-09
A-31ab9a,2024-12-06,Enterprise,29,5771,69252,0,0,0,0,monthly,0,2024-12
A-faa28c,2024-07-09,Basic,48,912,10944,0,0,0,0,monthly,1,2024-07
A-8adedc,2024-04-24,Enterprise,14,2786,33432,0,0,0,0,annual,1,2024-04
A-e08cd3,2024-09-30,Pro,67,3283,39396,0,0,0,0,monthly,1,2024-09
A-bcf87c,2024-08-27,Enterprise,10,1990,23880,0,0,0,1,annual,0,2024-08
A-e6afc1,2024-08-30,Pro,2,98,1176,0,0,0,0,annual,1,2024-08
A-7f29a7,2024-12-21,Basic,41,779,9348,0,0,0,0,monthly,1,2024-12
A-3ce5b8,2024-09-22,Pro,28,0,0,1,0,0,0,monthly,1,2024-09
A-b2225d,2024-10-17,Basic,47,0,0,1,0,0,0,monthly,1,2024-10
A-fa3095,2024-07-08,Enterprise,70,13930,167160,0,0,0,0,annual,1,2024-07
A-55f257,2024-06-05,Basic,23,0,0,1,0,0,0,annual,1,2024-06
A-9affe6,2024-06-25,Pro,17,833,9996,0,1,0,0,monthly,1,2024-06
A-296d7c,2024-08-17,Pro,16,784,9408,0,0,0,0,annual,0,2024-08
A-65a46c,2024-10-17,Enterprise,13,0,0,1,0,0,1,monthly,1,2024-10
A-812c5b,2024-07-25,Basic,55,1045,12540,0,0,0,0,monthly,1,2024-07
A-7f8241,2023-12-13,Basic,34,646,7752,0,0,0,0,annual,0,2023-12
A-d4ac0e,2024-07-07,Enterprise,20,3980,47760,0,0,0,0,annual,1,2024-07
A-17939a,2024-12-28,Basic,36,684,8208,0,0,0,0,monthly,1,2024-12
A-0a282f,2024-12-25,Pro,8,0,0,1,0,0,1,annual,1,2024-12
A-855a48,2024-05-08,Basic,14,266,3192,0,0,0,0,monthly,0,2024-05
A-f3ff05,2024-08-22,Pro,4,196,2352,0,0,0,0,annual,1,2024-08
A-417d2f,2024-12-09,Pro,26,1274,15288,0,0,0,0,monthly,1,2024-12
A-462d45,2024-02-29,Pro,18,0,0,1,0,0,0,monthly,1,2024-02
A-202b67,2024-09-04,Pro,11,539,6468,0,0,0,0,monthly,1,2024-09
A-eafc6e,2024-09-01,Pro,27,1323,15876,0,0,0,0,monthly,1,2024-09
A-309e54,2024-12-26,Basic,15,0,0,1,0,0,0,monthly,1,2024-12
A-82861f,2024-07-31,Basic,41,779,9348,0,0,0,1,annual,1,2024-07
A-ba6516,2024-03-14,Pro,55,0,0,1,0,0,0,monthly,0,2024-03
A-08e34e,2024-08-08,Pro,14,686,8232,0,0,0,0,annual,0,2024-08
A-e43bf7,2024-01-24,Pro,44,2156,25872,0,0,0,0,monthly,1,2024-01
A-a1b80b,2024-04-03,Basic,38,722,8664,0,0,0,0,annual,1,2024-04
A-443f6f,2024-12-26,Basic,19,361,4332,0,1,0,0,annual,1,2024-12
A-32728c,2023-05-21,Pro,20,980,11760,0,0,0,0,monthly,1,2023-05
A-ac85cd,2024-11-09,Pro,53,2597,31164,0,0,0,1,annual,1,2024-11
A-e19ff6,2024-06-29,Pro,1,49,588,0,0,0,0,annual,1,2024-06
A-6e08f3,2024-12-24,Enterprise,28,5572,66864,0,0,0,0,monthly,0,2024-12
A-544d0a,2024-07-23,Enterprise,5,995,11940,0,0,1,0,monthly,1,2024-07
A-8b0451,2024-10-26,Basic,41,779,9348,0,0,0,0,annual,1,2024-10
A-8ae3fc,2024-09-17,Pro,34,1666,19992,0,0,0,0,annual,1,2024-09
A-8ae3fc,2024-11-22,Basic,9,171,2052,0,0,0,0,annual,1,2024-11
A-4437e4,2024-02-06,Pro,49,2401,28812,0,0,0,0,annual,1,2024-02
A-4d1e75,2024-10-11,Enterprise,38,7562,90744,0,0,0,0,monthly,1,2024-10
A-098560,2024-11-17,Enterprise,4,796,9552,0,0,0,0,monthly,1,2024-11
A-ac9111,2024-08-18,Pro,21,1029,12348,0,0,0,0,monthly,1,2024-08
A-3c1a3f,2024-10-07,Pro,82,4018,48216,0,0,0,0,monthly,1,2024-10
A-cb6cc6,2024-05-25,Enterprise,13,0,0,1,0,0,0,annual,0,2024-05
A-9b9fe9,2024-08-17,Pro,5,245,2940,0,0,0,0,monthly,1,2024-08
A-029f69,2024-05-24,Enterprise,24,4776,57312,0,0,0,0,annual,1,2024-05
A-c7e58b,2024-07-15,Basic,13,247,2964,0,0,0,0,annual,0,2024-07
A-00bed1,2024-07-16,Enterprise,28,5572,66864,0,0,0,0,annual,1,2024-07
A-cea1f0,2024-12-22,Enterprise,21,4179,50148,0,0,0,0,annual,0,2024-12
A-c37cab,2024-08-07,Pro,20,0,0,1,0,0,0,monthly,1,2024-08
A-4c38bc,2024-07-14,Enterprise,36,7164,85968,0,0,0,0,annual,1,2024-07
A-157070,2024-10-05,Enterprise,23,4577,54924,0,0,1,0,monthly,1,2024-10
A-bcf87c,2024-12-09,Enterprise,21,4179,50148,0,0,0,0,annual,1,2024-12
A-8ae3fc,2024-09-20,Pro,9,441,5292,0,0,0,0,monthly,1,2024-09
A-1b9609,2023-12-01,Pro,12,588,7056,0,0,0,0,monthly,1,2023-12
A-474ad4,2024-12-14,Enterprise,10,0,0,1,0,0,0,monthly,0,2024-12
A-9bfc9f,2024-03-23,Pro,53,2597,31164,0,0,1,0,annual,0,2024-03
A-812c5b,2024-12-22,Enterprise,55,10945,131340,0,0,0,0,monthly,1,2024-12
A-39b19f,2023-02-28,Pro,24,1176,14112,0,0,1,1,annual,1,2023-02
A-de58ca,2023-07-09,Basic,15,285,3420,0,0,0,0,monthly,1,2023-07
A-e60f9d,2024-11-13,Pro,46,2254,27048,0,0,0,0,annual,1,2024-11
A-9affe6,2023-10-19,Enterprise,7,1393,16716,0,1,0,0,annual,0,2023-10
A-e60f9d,2024-12-25,Basic,38,722,8664,0,0,0,1,annual,1,2024-12
A-d27f50,2024-08-06,Pro,44,2156,25872,0,0,0,0,monthly,1,2024-08
A-fdfc91,2023-08-31,Basic,29,551,6612,0,0,0,0,annual,1,2023-08
A-712f1c,2024-02-09,Enterprise,44,8756,105072,0,0,0,0,monthly,1,2024-02
A-19b2c8,2024-02-10,Enterprise,20,3980,47760,0,0,0,0,monthly,1,2024-02
A-f51f16,2024-03-15,Pro,60,2940,35280,0,0,0,0,annual,1,2024-03
A-d3c88e,2024-12-16,Basic,16,304,3648,0,1,0,0,annual,1,2024-12
A-eb1312,2024-10-09,Basic,71,1349,16188,0,0,0,0,annual,1,2024-10
A-68f37c,2023-08-13,Enterprise,4,796,9552,0,1,0,1,monthly,1,2023-08
A-fda07f,2024-11-28,Pro,7,343,4116,0,0,0,0,monthly,1,2024-11
A-f9cc74,2024-11-08,Basic,53,1007,12084,0,0,0,1,monthly,1,2024-11
A-e7a1e2,2024-07-19,Enterprise,14,2786,33432,0,0,0,0,monthly,1,2024-07
A-7a0d69,2024-09-06,Basic,6,114,1368,0,0,0,0,annual,1,2024-09
A-4d1e75,2024-10-27,Enterprise,20,3980,47760,0,0,0,0,annual,1,2024-10
A-902ef7,2024-11-23,Pro,83,0,0,1,1,0,0,annual,1,2024-11
A-89ee83,2024-11-23,Enterprise,2,398,4776,0,0,0,0,monthly,1,2024-11
A-e60f9d,2024-11-24,Pro,29,0,0,1,0,0,1,annual,1,2024-11
A-d77f4c,2024-08-04,Enterprise,22,4378,52536,0,1,0,0,monthly,0,2024-08
A-b30291,2024-06-12,Pro,18,882,10584,0,0,0,0,monthly,1,2024-06
A-180abf,2024-01-17,Basic,64,0,0,1,0,0,1,annual,1,2024-01
A-d82ef9,2024-08-07,Enterprise,26,0,0,1,0,0,0,annual,1,2024-08
A-249769,2024-09-24,Basic,21,399,4788,0,0,0,0,annual,1,2024-09
A-eb2fdc,2024-02-24,Pro,31,1519,18228,0,0,0,0,monthly,0,2024-02
A-5f2961,2024-12-02,Pro,49,2401,28812,0,0,0,0,annual,1,2024-12
A-9b9fe9,2024-01-01,Pro,24,1176,14112,0,0,0,0,annual,1,2024-01
A-e40f45,2024-05-15,Pro,44,2156,25872,0,1,0,0,monthly,1,2024-05
A-bcf664,2023-10-05,Basic,8,0,0,1,0,0,0,annual,1,2023-10
A-0e966d,2024-11-15,Enterprise,11,2189,26268,0,0,0,0,annual,1,2024-11
A-f03140,2024-11-06,Pro,27,0,0,1,0,0,0,annual,1,2024-11
A-a7bd4b,2024-05-14,Pro,5,245,2940,0,1,0,0,monthly,1,2024-05
A-7f8241,2024-10-12,Basic,34,646,7752,0,0,0,0,monthly,0,2024-10
A-eafc6e,2023-08-08,Pro,27,1323,15876,0,0,0,0,monthly,1,2023-08
A-d49cc5,2024-02-13,Basic,50,950,11400,0,0,0,0,annual,1,2024-02
A-54ecc2,2024-10-30,Enterprise,28,5572,66864,0,0,0,0,monthly,1,2024-10
A-6da850,2023-12-04,Pro,5,245,2940,0,0,0,0,annual,1,2023-12
A-4e960a,2024-02-07,Enterprise,17,0,0,1,0,0,0,annual,1,2024-02
A-533452,2024-11-25,Pro,101,4949,59388,0,0,0,0,monthly,1,2024-11
A-f44180,2024-12-13,Basic,10,0,0,1,0,0,0,annual,0,2024-12
A-7c83a1,2024-05-14,Pro,48,2352,28224,0,0,0,0,annual,1,2024-05
A-e60f9d,2024-09-17,Pro,29,1421,17052,0,0,0,0,monthly,1,2024-09
A-075038,2024-01-09,Basic,17,323,3876,0,0,0,0,annual,1,2024-01
A-cc1d8d,2024-12-30,Enterprise,6,1194,14328,0,0,0,0,annual,1,2024-12
A-271f46,2024-10-31,Basic,38,722,8664,0,0,0,0,monthly,1,2024-10
A-1e1b80,2023-12-26,Basic,50,950,11400,0,0,0,0,annual,1,2023-12
A-e4bf56,2024-12-02,Enterprise,37,7363,88356,0,0,0,1,monthly,1,2024-12
A-ff79f2,2024-12-31,Enterprise,19,3781,45372,0,0,0,1,annual,1,2024-12
A-6da850,2024-02-20,Enterprise,23,0,0,1,0,0,0,monthly,1,2024-02
A-5b4ebb,2024-10-23,Basic,21,399,4788,0,0,0,1,monthly,0,2024-10
A-3f9cc0,2024-07-06,Basic,22,0,0,1,0,0,0,monthly,1,2024-07
A-d4ac0e,2024-10-01,Basic,28,532,6384,0,0,0,0,annual,1,2024-10
A-86cdb4,2024-10-10,Enterprise,2,398,4776,0,0,0,1,annual,1,2024-10
A-310452,2024-12-28,Pro,9,0,0,1,0,0,0,annual,0,2024-12
A-854864,2024-12-27,Basic,20,380,4560,0,0,0,1,annual,1,2024-12
A-d82ef9,2024-10-04,Pro,26,0,0,1,0,0,0,annual,1,2024-10
A-71615e,2024-10-13,Basic,32,608,7296,0,0,0,0,monthly,1,2024-10
A-5fe118,2024-12-06,Enterprise,39,7761,93132,0,0,0,0,annual,1,2024-12
A-39ddf4,2024-12-07,Enterprise,40,7960,95520,0,0,0,0,annual,1,2024-12
A-e83938,2024-06-27,Basic,2,38,456,0,0,0,0,annual,0,2024-06
A-671f31,2024-12-14,Pro,59,2891,34692,0,0,0,0,annual,1,2024-12
A-443b7c,2024-11-18,Basic,6,0,0,1,1,0,0,annual,1,2024-11
A-d4e0d4,2024-11-30,Enterprise,117,23283,279396,0,0,0,1,monthly,1,2024-11
A-b2225d,2024-10-29,Basic,47,0,0,1,0,0,0,monthly,1,2024-10
A-e08cd3,2024-10-11,Pro,67,3283,39396,0,0,0,0,annual,0,2024-10
A-2e4581,2024-12-09,Basic,11,209,2508,0,0,0,0,monthly,1,2024-12
A-4a267b,2024-10-18,Pro,25,1225,14700,0,0,1,0,monthly,1,2024-10
A-7c83a1,2024-12-30,Pro,24,1176,14112,0,0,0,0,monthly,1,2024-12
A-6843f2,2024-12-21,Pro,21,0,0,1,0,1,0,monthly,1,2024-12
A-dfbd31,2024-11-08,Enterprise,62,12338,148056,0,0,0,0,monthly,1,2024-11
A-00cac8,2024-04-04,Enterprise,9,0,0,1,0,0,0,annual,0,2024-04
A-309e54,2024-12-31,Basic,15,285,3420,0,0,0,0,annual,1,2024-12
A-6843f2,2024-12-12,Enterprise,21,4179,50148,0,0,0,0,monthly,1,2024-12
A-2e4581,2024-11-12,Pro,20,980,11760,0,0,0,0,monthly,1,2024-11
A-f92792,2024-12-02,Basic,9,0,0,1,0,0,0,annual,0,2024-12
A-ce550d,2024-10-28,Enterprise,35,6965,83580,0,1,0,0,annual,1,2024-10
A-f6b2fb,2024-05-23,Pro,23,1127,13524,0,0,1,0,monthly,1,2024-05
A-ff3c73,2023-04-08,Basic,66,1254,15048,0,0,0,0,annual,1,2023-04
A-2d4502,2024-11-02,Basic,14,266,3192,0,1,0,0,monthly,0,2024-11
A-2f6a32,2024-11-28,Pro,19,931,11172,0,0,0,1,annual,1,2024-11
A-69b156,2024-12-10,Basic,8,152,1824,0,0,0,1,monthly,0,2024-12
A-44dc83,2024-09-24,Enterprise,37,0,0,1,0,0,0,monthly,1,2024-09
A-89ee83,2024-12-26,Basic,10,190,2280,0,0,0,1,annual,1,2024-12
A-40de06,2023-12-12,Enterprise,28,5572,66864,0,0,0,1,monthly,1,2023-12
A-d77f4c,2024-04-22,Enterprise,94,18706,224472,0,1,0,0,annual,1,2024-04
A-cc1d8d,2024-12-14,Basic,5,0,0,1,0,0,0,monthly,1,2024-12
A-9b9fe9,2024-10-17,Basic,33,627,7524,0,0,0,0,annual,1,2024-10
A-88c6ca,2024-12-18,Pro,49,2401,28812,0,0,0,0,monthly,1,2024-12
A-1ac5e0,2024-11-24,Enterprise,33,0,0,1,0,0,0,monthly,0,2024-11
A-52dd88,2024-09-09,Enterprise,23,4577,54924,0,0,0,0,annual,1,2024-09
A-940b8b,2024-04-01,Enterprise,32,6368,76416,0,0,1,0,annual,1,2024-04
A-f19409,2024-08-27,Enterprise,23,4577,54924,0,0,0,1,monthly,1,2024-08
A-f5641b,2024-10-16,Pro,38,1862,22344,0,0,0,0,monthly,0,2024-10
A-9affe6,2023-11-22,Pro,24,1176,14112,0,0,0,0,annual,1,2023-11
A-6f8ad2,2024-09-08,Pro,1,49,588,0,0,0,0,monthly,0,2024-09
A-902ef7,2024-12-25,Basic,83,1577,18924,0,0,0,0,annual,1,2024-12
A-6dee43,2024-01-21,Basic,12,228,2736,0,0,0,0,annual,1,2024-01
A-cc1d8d,2024-12-26,Pro,16,784,9408,0,1,1,0,annual,1,2024-12
A-533452,2024-12-25,Basic,52,988,11856,0,0,0,0,annual,0,2024-12
A-18793f,2024-12-30,Basic,148,0,0,1,1,0,0,monthly,1,2024-12
A-8adedc,2024-03-16,Basic,4,76,912,0,0,0,0,annual,1,2024-03
A-425e76,2023-06-26,Basic,28,532,6384,0,0,0,0,annual,0,2023-06
A-92a3af,2024-09-18,Enterprise,25,4975,59700,0,0,0,0,annual,1,2024-09
A-eb2fdc,2024-11-14,Pro,31,1519,18228,0,0,0,0,monthly,1,2024-11
A-600734,2024-08-14,Enterprise,29,0,0,1,0,0,1,annual,1,2024-08
A-7f8241,2024-01-25,Basic,60,1140,13680,0,0,0,0,monthly,1,2024-01
A-712533,2024-01-06,Enterprise,18,3582,42984,0,0,0,0,annual,1,2024-01
A-3be56b,2024-08-21,Enterprise,30,5970,71640,0,0,0,0,monthly,1,2024-08
A-d5a319,2024-07-24,Enterprise,15,2985,35820,0,1,0,0,monthly,0,2024-07
A-b20d99,2024-01-30,Basic,20,380,4560,0,0,0,0,annual,1,2024-01
A-9ee962,2024-06-06,Enterprise,29,5771,69252,0,0,0,0,monthly,1,2024-06
A-d5a319,2023-10-30,Basic,15,0,0,1,0,1,0,monthly,1,2023-10
A-5c9849,2024-11-11,Enterprise,19,0,0,1,0,0,0,monthly,1,2024-11
A-c43359,2024-12-17,Pro,38,0,0,1,0,0,0,annual,1,2024-12
A-157070,2024-05-17,Basic,27,513,6156,0,0,0,0,annual,1,2024-05
A-5247b3,2024-05-11,Basic,33,627,7524,0,0,0,0,annual,0,2024-05
A-5a92e7,2024-09-28,Pro,28,1372,16464,0,0,0,0,monthly,1,2024-09
A-96e141,2024-08-10,Enterprise,24,4776,57312,0,0,0,0,monthly,1,2024-08
A-7c4956,2024-08-14,Enterprise,6,1194,14328,0,0,0,0,annual,1,2024-08
A-eb7fac,2024-07-09,Enterprise,14,2786,33432,0,0,0,0,monthly,1,2024-07
A-22d9d2,2024-06-10,Pro,25,1225,14700,0,0,0,0,monthly,0,2024-06
A-0f7d77,2024-11-11,Basic,6,114,1368,0,0,0,0,monthly,0,2024-11
A-4e44e8,2024-08-23,Basic,38,722,8664,0,0,0,0,monthly,1,2024-08
A-2446e3,2024-07-14,Pro,27,1323,15876,0,0,0,0,monthly,1,2024-07
A-faa28c,2024-02-17,Enterprise,48,0,0,1,0,0,0,annual,1,2024-02
A-0aaf6e,2024-08-01,Basic,24,456,5472,0,0,0,0,annual,1,2024-08
A-bb1eaa,2024-12-12,Pro,25,1225,14700,0,0,0,0,annual,1,2024-12
A-39868b,2024-04-25,Enterprise,9,1791,21492,0,0,0,0,annual,0,2024-04
A-94d3da,2024-09-28,Enterprise,41,8159,97908,0,0,0,0,monthly,0,2024-09
A-faa28c,2024-05-23,Enterprise,48,0,0,1,1,0,0,monthly,1,2024-05
A-18793f,2024-12-24,Basic,148,2812,33744,0,0,0,0,annual,1,2024-12
A-cc102e,2024-09-06,Pro,13,637,7644,0,0,0,0,annual,1,2024-09
A-f3ff05,2024-11-24,Pro,2,98,1176,0,0,0,0,monthly,1,2024-11
A-22d9d2,2024-07-02,Pro,8,392,4704,0,0,0,0,annual,1,2024-07
A-d42431,2024-11-15,Basic,22,418,5016,0,0,0,1,annual,0,2024-11
A-149a69,2024-12-19,Basic,34,646,7752,0,0,0,0,monthly,1,2024-12
A-ee42db,2023-05-01,Pro,13,637,7644,0,0,0,0,monthly,1,2023-05
A-7d514c,2024-11-06,Pro,21,1029,12348,0,1,0,0,monthly,0,2024-11
A-d792a6,2024-01-01,Basic,7,0,0,1,0,0,0,annual,1,2024-01
A-1e6fc3,2024-12-17,Enterprise,1,199,2388,0,0,0,0,annual,1,2024-12
A-c1dfe1,2024-03-04,Enterprise,26,5174,62088,0,0,0,0,monthly,1,2024-03
A-249769,2024-08-28,Basic,4,76,912,0,0,0,0,monthly,1,2024-08
A-d4ac0e,2024-09-10,Basic,24,456,5472,0,1,0,0,monthly,1,2024-09
A-ccabf0,2024-03-03,Enterprise,11,2189,26268,0,0,0,0,annual,1,2024-03
A-5a215a,2024-07-13,Pro,87,0,0,1,0,0,1,monthly,1,2024-07
A-993085,2023-10-15,Enterprise,49,9751,117012,0,0,0,0,annual,1,2023-10
A-854864,2024-12-25,Enterprise,20,3980,47760,0,0,0,0,monthly,1,2024-12
A-8ed5dd,2023-11-09,Basic,5,95,1140,0,1,0,0,annual,1,2023-11
A-9f9299,2024-11-10,Pro,28,1372,16464,0,0,0,1,annual,1,2024-11
A-5a215a,2024-06-20,Pro,87,0,0,1,0,0,0,annual,0,2024-06
A-c16101,2024-10-05,Basic,53,1007,12084,0,0,0,0,monthly,1,2024-10
A-5b4ebb,2024-12-06,Basic,21,0,0,1,0,0,0,monthly,1,2024-12
A-32728c,2023-06-20,Pro,20,980,11760,0,0,0,0,annual,1,2023-06
A-2f6a32,2024-12-08,Basic,19,361,4332,0,0,0,0,annual,1,2024-12
A-0e966d,2024-08-17,Pro,55,0,0,1,0,0,0,annual,1,2024-08
A-328bd0,2024-02-11,Basic,18,342,4104,0,0,0,1,monthly,1,2024-02
A-5a92e7,2024-12-03,Pro,28,1372,16464,0,0,0,0,monthly,1,2024-12
A-425e76,2024-04-16,Basic,8,152,1824,0,0,0,0,monthly,1,2024-04
A-d4ac0e,2024-08-25,Pro,18,882,10584,0,0,0,0,annual,1,2024-08
A-4ef964,2024-04-01,Enterprise,17,3383,40596,0,0,0,0,annual,0,2024-04
A-9f9299,2024-10-25,Basic,61,1159,13908,0,0,0,0,monthly,0,2024-10
A-ac9111,2024-03-06,Pro,21,1029,12348,0,0,0,0,monthly,0,2024-03
A-c37601,2024-11-29,Basic,22,418,5016,0,0,0,0,monthly,1,2024-11
A-e351e1,2024-09-27,Basic,33,627,7524,0,0,0,0,monthly,1,2024-09
A-526d93,2024-07-24,Pro,43,0,0,1,0,0,0,annual,1,2024-07
A-94c3cd,2024-08-07,Enterprise,32,0,0,1,0,0,0,monthly,1,2024-08
A-4e631b,2024-07-26,Basic,22,418,5016,0,0,0,0,monthly,1,2024-07
A-8145a0,2023-11-13,Enterprise,9,1791,21492,0,0,0,0,annual,1,2023-11
A-fdfc91,2023-09-14,Basic,29,551,6612,0,0,0,0,annual,1,2023-09
A-e351e1,2024-10-01,Pro,33,1617,19404,0,0,0,0,monthly,1,2024-10
A-40a557,2024-09-21,Pro,18,0,0,1,0,0,0,annual,1,2024-09
A-7c4956,2023-06-05,Pro,9,441,5292,0,0,0,0,annual,1,2023-06
A-91e948,2024-01-26,Basic,41,0,0,1,0,0,0,monthly,1,2024-01
A-50f3f7,2024-05-13,Pro,31,0,0,1,0,0,0,monthly,0,2024-05
A-ce66f8,2024-07-02,Enterprise,37,7363,88356,0,0,0,0,monthly,1,2024-07
A-712f1c,2024-05-15,Pro,38,1862,22344,0,1,0,0,annual,0,2024-05
A-4a267b,2024-09-22,Pro,46,2254,27048,0,0,0,1,monthly,1,2024-09
A-df10db,2024-07-02,Basic,68,0,0,1,1,0,0,annual,0,2024-07
A-e888d1,2024-09-16,Basic,14,266,3192,0,0,0,0,monthly,1,2024-09
A-692f18,2024-09-27,Pro,9,0,0,1,0,0,0,annual,1,2024-09
A-39b19f,2024-09-04,Enterprise,24,0,0,1,0,0,0,annual,1,2024-09
A-0cc442,2024-09-25,Basic,45,855,10260,0,1,0,0,monthly,1,2024-09
A-d27f50,2024-12-19,Basic,44,836,10032,0,0,0,0,monthly,1,2024-12
A-e7beab,2024-12-08,Pro,19,931,11172,0,0,0,0,monthly,1,2024-12
A-fdfc91,2024-08-31,Enterprise,47,9353,112236,0,0,0,0,annual,1,2024-08
A-c7ffc2,2024-09-16,Basic,30,570,6840,0,0,0,0,monthly,1,2024-09
A-94f8c9,2024-08-02,Enterprise,13,2587,31044,0,0,0,0,monthly,1,2024-08
A-313be3,2024-08-14,Enterprise,47,0,0,1,0,0,0,monthly,1,2024-08
